Date,Exchange Rate
01-02-2019,6.8557
01-03-2019,6.8744
01-04-2019,6.8647
01-07-2019,6.8498
01-08-2019,6.86
01-09-2019,6.8353
01-10-2019,6.7899
01-11-2019,6.7468
01-14-2019,6.7644
01-15-2019,6.753
01-16-2019,6.7615
01-17-2019,6.767
01-18-2019,6.7725
01-22-2019,6.8064
01-23-2019,6.7887
01-24-2019,6.795
01-25-2019,6.7621
01-28-2019,6.7371
01-29-2019,6.7374
01-30-2019,6.7123
01-31-2019,6.7064
02-01-2019,6.7355
02-04-2019,
02-05-2019,
02-06-2019,
02-07-2019,
02-08-2019,
02-11-2019,6.7776
02-12-2019,6.7781
02-13-2019,6.7594
02-14-2019,6.7668
02-15-2019,6.7787
02-19-2019,6.7726
02-20-2019,6.7241
02-21-2019,6.7144
02-22-2019,6.72
02-25-2019,6.6982
02-26-2019,6.6991
02-27-2019,6.6858
02-28-2019,6.6883
03-01-2019,6.7015
03-04-2019,6.6957
03-05-2019,6.7029
03-06-2019,6.7105
03-07-2019,6.709
03-08-2019,6.7243
03-11-2019,6.7245
03-12-2019,6.712
03-13-2019,6.711
03-14-2019,6.7174
03-15-2019,6.716
03-18-2019,6.7124
03-19-2019,6.7168
03-20-2019,6.7054
03-21-2019,6.6837
03-22-2019,6.7014
03-25-2019,6.7129
03-26-2019,6.7134
03-27-2019,6.7238
03-28-2019,6.7282
03-29-2019,6.7211
04-01-2019,6.712
04-02-2019,6.721
04-03-2019,6.7075
04-04-2019,6.7179
04-05-2019,
04-08-2019,6.7192
04-09-2019,6.7136
04-10-2019,6.7161
04-11-2019,6.717
04-12-2019,6.7185
04-15-2019,6.706
04-16-2019,6.7071
04-17-2019,6.6908
04-18-2019,6.7002
04-19-2019,6.7043
04-22-2019,6.713
04-23-2019,6.7191
04-24-2019,6.7191
04-25-2019,6.7372
04-26-2019,6.7367
04-29-2019,6.7326
04-30-2019,6.7411
05-01-2019,
05-02-2019,
05-03-2019,
05-06-2019,6.7692
05-07-2019,6.764
05-08-2019,6.77
05-09-2019,6.8127
05-10-2019,6.8089
05-13-2019,6.8673
05-14-2019,6.8856
05-15-2019,6.8683
05-16-2019,6.885
05-17-2019,6.9114
05-20-2019,6.9125
05-21-2019,6.912
05-22-2019,6.9129
05-23-2019,6.915
05-24-2019,6.9048
05-28-2019,6.9109
05-29-2019,6.9155
05-30-2019,6.9055
05-31-2019,6.9035
06-03-2019,6.9062
06-04-2019,6.9123
06-05-2019,6.9104
06-06-2019,6.914
06-07-2019,
06-10-2019,6.9342
06-11-2019,6.9166
06-12-2019,6.9129
06-13-2019,6.9208
06-14-2019,6.9239
06-17-2019,6.9245
06-18-2019,6.9296
06-19-2019,6.9047
06-20-2019,6.8474
06-21-2019,6.8764
06-24-2019,6.882
06-25-2019,6.8791
06-26-2019,6.8866
06-27-2019,6.8777
06-28-2019,6.8668
07-01-2019,6.8433
07-02-2019,6.8735
07-03-2019,6.886
07-05-2019,6.8782
07-08-2019,6.8845
07-09-2019,6.881
07-10-2019,6.8845
07-11-2019,6.8662
07-12-2019,6.8785
07-15-2019,6.8742
07-16-2019,6.8758
07-17-2019,6.8797
07-18-2019,6.8774
07-19-2019,6.8743
07-22-2019,6.8793
07-23-2019,6.8783
07-24-2019,6.8795
07-25-2019,6.8726
07-26-2019,6.879
07-29-2019,6.8921
07-30-2019,6.8831
07-31-2019,6.8834
08-01-2019,6.9003
08-02-2019,6.9363
08-05-2019,7.033
08-06-2019,7.0354
08-07-2019,7.0402
08-08-2019,7.0452
08-09-2019,7.052
08-12-2019,7.067
08-13-2019,7.0657
08-14-2019,7.0125
08-15-2019,7.0258
08-16-2019,7.0459
08-19-2019,7.0473
08-20-2019,7.0626
08-21-2019,7.0601
08-22-2019,7.0785
08-23-2019,7.0864
08-26-2019,7.1471
08-27-2019,7.1646
08-28-2019,7.1666
08-29-2019,7.1541
08-30-2019,7.1401
,
USER SELECTIONS,
,
EXCHANGE RATE TYPE,Representative rates
FROM DATE,1-Jan-19
TO DATE,1-Sep-19
COUNTRIES,
,"China,United States"
,
,
,
               Disclaimer             ,
"               The International Monetary Fund makes no warranties, express or             ",
"               implied, regarding these tables or the performance of this site.             ",
               The Fund shall not be liable for any losses or damages incurred              ,
               in connection with this site.             ,
