ID,Close Date,Created Date,New Logo,Type,Stage,Billing Plan, ACV , Discount Amount , Amount , Net Amount 
1,5/26/17,5/4/17,1,Direct - Cloud Product,Closed Lost,3 Years,431370,       ,225000,225000
2,12/29/16,11/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22050,80850,147000,66150
3,12/29/16,12/9/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,32750,43200,96000,52800
4,9/9/16,4/20/16,1,Direct - Cloud Product,Closed Won - Paid,4 Years,36694,44800,128000,83200
5,9/22/16,9/1/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18700,9900,66000,56100
6,12/6/16,9/12/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
7,9/26/16,6/24/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,38000,111000,225000,114000
8,7/14/16,7/12/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,16500,16500,66000,49500
9,9/1/16,7/13/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
10,12/30/16,8/9/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22050,80850,147000,66150
11,9/23/16,8/26/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,28420,61740,147000,85260
12,11/30/16,10/27/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,20000,6000,66000,60000
13,12/14/16,11/2/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,18000,12000,66000,54000
14,1/4/17,11/20/16,0,Partner - Cloud Product,Closed Lost,3 Years,,,147000,147000
15,6/29/17,11/29/16,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,889100,492563,1875000,1382438
16,12/15/16,11/29/16,0,Partner - OnPremise Product,Closed Lost,3 Years,32000,,96000,96000
17,5/2/17,12/6/16,1,Partner - OnPremise Product,Closed Won - Paid,2 Years,60000,30000,150000,120000
18,12/7/16,12/7/16,0,Direct - OnPremise Product,Closed Lost,,32000,,32000,32000
19,12/29/16,12/8/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,15400,19800,66000,46200
20,3/20/17,12/9/16,0,Partner - Cloud Product,Closed Lost,3 Years,51667,,96000,96000
21,1/30/17,12/12/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,67587,108000,225000,117000
22,3/14/17,12/14/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,71250,161250,375000,213750
23,7/5/17,12/23/16,1,Partner - Cloud Product,Closed Lost,3 Years,52500,       ,157500,157500
24,2/16/17,12/28/16,1,Direct - OnPremise Product,Closed Won - Paid,2 Years,74200,131600,280000,148400
25,1/4/17,12/28/16,0,Partner - Cloud Product,Closed Lost,,,,32000,32000
26,7/25/17,12/29/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,84088,55512,139600,84088
27,3/30/17,12/29/16,0,Direct - OnPremise Product,Closed Lost,Annual,62500,,62500,62500
28,2/16/17,1/5/17,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
29,3/8/17,1/16/17,0,Partner - Cloud Product,Closed Lost,3 Years,80667,,147000,147000
30,7/24/17,2/14/17,1,Partner - Cloud Product,Closed Lost,3 Years,75000,       ,225000,225000
31,1/4/17,12/10/15,0,Partner - Cloud Product,Closed Lost,3 Years,,,96000,96000
32,9/30/16,10/20/15,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,27520,13440,96000,82560
33,5/31/16,1/4/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
34,1/4/17,2/12/16,0,Partner - OnPremise Product,Closed Lost,3 Years,32000,,96000,96000
35,6/8/17,2/22/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,75187,85948,157500,71552
36,5/19/16,2/19/16,0,Partner - OnPremise Product,Closed Lost,,125000,,125000,125000
37,2/21/17,2/29/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,28800,9600,96000,86400
38,1/4/17,3/16/16,0,Partner - OnPremise Product,Closed Lost,Annual,100000,,100000,100000
39,7/28/16,5/19/16,0,Partner - OnPremise Product,Closed Lost,Annual,32000,,32000,32000
40,11/4/16,5/23/16,0,Partner - Cloud Product,Closed Lost,,,,500000,500000
41,8/9/16,6/10/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,32000,,96000,96000
42,1/20/17,4/8/16,0,Partner - OnPremise Product,Closed Lost,2 Years,73500,,147000,147000
43,9/23/16,4/18/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,47250,83250,225000,141750
44,5/16/16,4/26/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,38400,,115200,115200
45,10/12/16,5/2/16,0,Direct - OnPremise Product,Closed Lost,3 Years,75000,,225000,225000
46,2/7/17,5/3/16,0,Partner - Cloud Product,Closed Lost,3 Years,129827,,225000,225000
47,12/12/16,5/3/16,0,Partner - OnPremise Product,Closed Lost,3 Years,52500,,157500,157500
48,9/23/16,5/9/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,59298,5156,64454,59298
49,6/30/16,5/17/16,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,45982,10992,96000,85008
50,9/9/16,9/8/16,1,Direct - OnPremise Product,Closed Won - Paid,3 Years,45000,90000,225000,135000
51,2/16/17,9/13/16,0,Partner - Cloud Product,Closed Lost,3 Years,80850,,147000,147000
52,3/24/17,9/20/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,118648,90000,225000,135000
53,11/11/16,6/20/16,0,Partner - OnPremise Product,Closed Lost,3 Years,32000,,96000,96000
54,8/3/16,6/21/16,0,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
55,12/21/16,6/21/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,122866,123750,375000,251250
56,12/19/16,7/5/16,1,Partner - Cloud Product,Closed Won - Paid,3 Years,97693,45000,225000,180000
57,2/21/17,7/20/16,0,Partner - OnPremise Product,Closed Lost,2 Years,100000,,200000,200000
58,10/12/16,7/28/16,0,Partner - Cloud Product,Closed Lost,3 Years,,,225000,225000
59,9/12/16,7/29/16,0,Partner - Cloud Product,Closed Lost,,,,96000,96000
60,9/13/16,8/15/16,0,Partner - Cloud Product,Closed Lost,3 Years,,,225000,225000
61,9/30/16,8/16/16,1,Partner - OnPremise Product,Closed Won - Paid,4 Years,23270,,93080,93080
62,5/24/17,8/16/16,1,Partner - OnPremise Product,Closed Won - Paid,Annual,32000,,32000,32000
63,12/20/16,8/22/16,1,Partner - OnPremise Product,Closed Won - Paid,5 Years,24000,40000,160000,120000
64,3/21/17,8/22/16,0,Partner - OnPremise Product,Closed Lost,3 Years,78750,138750,375000,236250
65,11/18/16,8/22/16,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,100000,75000,375000,300000
66,3/3/17,8/24/16,1,Partner - Cloud Product,Closed Won - Paid,Annual,64707,26460,49000,22540
67,8/1/17,5/15/17,1,Partner - OnPremise Product,Closed Lost,Annual,75000,,75000,75000
68,7/19/17,5/18/17,1,Partner - OnPremise Product,Closed Lost,,32000,,32000,32000
69,5/4/17,3/3/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,46750,4800,32000,27200
70,8/1/17,3/7/17,1,Partner - Cloud Product,Closed Lost,3 Years,412080,193125,772500,579375
71,6/28/17,3/31/17,1,Partner - Cloud Product,Closed Lost,Annual,166000,       ,75000,75000
72,7/26/17,4/10/17,1,Partner - Cloud Product,Closed Lost,3 Years,32000,       ,96000,96000
73,5/9/17,4/12/17,1,Direct - Cloud Product,Closed Won - Not Paid,3 Years,94322,130815,225000,94185
74,7/19/17,4/24/17,1,Direct - Cloud Product,Closed Lost,,295000,       ,295000,295000
75,7/6/17,4/27/17,1,Direct - Cloud Product,Closed Lost,3 Years,32000,       ,96000,96000
76,5/18/17,5/1/17,1,Partner - Cloud Product,Closed Won - Paid,Annual,55000,       ,32000,32000
77,7/6/17,5/5/17,1,Partner - Cloud Product,Closed Lost,3 Years,75000,       ,225000,225000
78,7/5/17,5/31/17,1,Partner - OnPremise Product,Closed Lost,,18000,4000,22000,18000
79,7/24/17,6/2/17,1,Partner - OnPremise Product,Closed Lost,,22000,,22000,22000
80,8/2/17,6/2/17,1,Partner - OnPremise Product,Closed Lost,,17600,4400,22000,17600
81,6/27/17,6/13/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,22400,28800,96000,67200
82,7/12/17,2/27/17,1,Direct - OnPremise Product,Closed Lost,,17600,,17600,17600
83,3/31/17,2/27/17,1,Direct - Cloud Product,Closed Won - Paid,3 Years,25657,60570,96000,35430
84,5/1/17,2/27/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
85,3/31/17,2/27/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,37376,31941,96000,64059
86,5/1/17,3/1/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
87,3/31/17,3/2/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,13200,26400,66000,39600
88,4/25/17,3/8/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
89,3/31/17,3/8/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
90,6/30/17,3/8/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
91,6/28/17,3/15/17,1,Partner - Cloud Product,Closed Won - Not Paid,3 Years,48960,26880,96000,69120
92,3/28/17,3/22/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,,17600,17600
93,3/31/17,3/22/17,1,Partner - OnPremise Product,Closed Won - Paid,4 Years,18750,53000,128000,75000
94,7/5/17,3/22/17,1,Partner - OnPremise Product,Closed Lost,Annual,17600,4400,22000,17600
95,3/31/17,3/31/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
96,6/2/17,3/31/17,1,Partner - OnPremise Product,Closed Lost,,17600,4400,22000,17600
97,4/27/17,4/4/17,1,Partner - OnPremise Product,Closed Lost,,17600,,17600,17600
98,6/28/17,4/4/17,1,Partner - OnPremise Product,Closed Won - Paid,3 Years,17600,13200,66000,52800
99,6/1/17,4/5/17,1,Partner - OnPremise Product,Closed Lost,,24000,12000,36000,24000
100,7/12/17,4/6/17,1,Partner - OnPremise Product,Closed Lost,,28000,4000,32000,28000
101,5/24/17,4/13/17,1,Direct - Cloud Product,Closed Lost,Annual,45815,8970,29900,20930
102,4/24/17,4/20/17,1,Direct - OnPremise Product,Closed Lost,,22000,,22000,22000
103,6/7/17,4/21/17,1,Direct - OnPremise Product,Closed Won - Paid,Annual,27440,6860,34300,27440
104,7/25/17,4/24/17,1,Partner - OnPremise Product,Closed Lost,3 Years,20000,36000,96000,60000
105,7/5/17,4/26/17,1,Partner - OnPremise Product,Closed Lost,,11000,11000,22000,11000
106,5/26/17,4/28/17,1,Direct - Cloud Product,Closed Won - Paid,2 Years,32800,8800,44000,35200
107,7/5/17,5/3/17,1,Partner - OnPremise Product,Closed Lost,,18000,4000,22000,18000
