Serial Number,The Social Network,The King's Speech,La La Land,Inception,Avatar,Spotlight,12 Years a Slave,Up in the Air,Inglourious Basterds,Mad Max: Fury Road,Birdman,Manchester by the Sea,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Argo,Gravity,Black Swan,The Wolf of Wall Street,Life of Pi,Arrival,Call Me by Your Name,The Grand Budapest Hotel,Dunkirk,Toy Story 3,The Imitation Game
1,,,,5,5,,,,,5,,,,5,,,,5,5,,,5,,,5
2,,,,5,,,,5,,,,,,,,,,5,,,,,,4,5
3,4,3,4,4,3,3,,3,3,3,4,4,4,4,4,4,3,,5,3,4,3,3,,3
4,,4,5,,5,,4,,5,4,3,,,5,,,5,5,3,,,,4,4,4
5,,,,5,1,,3,4,,,,,,,3,3,3,3,2,2,5,2,5,3,4
6,,,,3,4,,,,,,,,,,,,,,,,,,,,5
7,4,5,5,,5,,,,5,5,,,,,,,,,4,,,4,,,5
8,4,,3,4,5,,,,,,,,,3,,,,5,5,,,,,3,4
9,4,5,5,5,5,4,,,,,4,5,,,,,,4,,,5,5,,,4
10,4,,3,4,5,,,,,,,,,,,4,,,,,5,,,5,
11,3,4,5,5,3,4,,4,3,,,,4,4,,4,,4,3,,,,4,,3
12,,5,4,5,3,,,,,5,5,5,,,,,5,5,4,5,4,,4,2,5
13,4,4,5,5,4,5,5,4,5,5,5,5,4,5,3,4,5,4,5,5,4,5,5,4,3
14,,,,,4,5,,,,,3,,5,,,,5,4,,,,,,5,
15,,5,5,,5,,,,,,,2,4,,,,,,5,,5,4,,4,
16,5,5,5,5,5,,4,,,4,4,5,,,,,5,5,5,,,5,,5,5
17,4,4,,5,,5,5,4,,,,5,,4,5,5,,5,5,,,5,4,,5
18,,,,5,5,,,,,4,,,,5,,,5,5,5,,,,5,,
19,4,,3,5,5,5,,3,5,5,,,,,,5,5,3,5,5,,,4,3,4
20,4,,,5,3,5,4,,4,4,,,4,,,,,5,,4,,5,,4,4
21,4,5,,4,3,5,,5,,,,,,5,4,5,,5,4,,,,5,4,5
22,,,4,5,4,,,5,2,,,,4,,,,3,4,3,1,,,3,2,4
23,5,4,4,,4,,4,,,,3,,,,,,4,4,,,4,4,5,5,5
24,3,5,5,5,4,,,3,,2,,5,,,,5,,,3,,4,3,4,5,5
25,4,,5,5,4,5,,,,,,4,3,4,,,,3,5,,5,,4,,5
26,,,4,4,,,,,,,,,,,,3,,,,,,5,,,
27,4,4,,5,4,,3,,5,4,5,4,5,5,3,3,3,5,3,,,3,4,4,
28,,5,5,5,5,,,,,2,4,4,5,4,,,5,4,5,,4,,3,,
29,,,5,5,5,,,,,,,,,5,,,,,4,,,,3,4,
30,,,,4,3,,,,4,,,,,,,3,,5,,,,,,3,
31,4,5,3,5,4,4,4,3,4,4,1,,4,,3,5,5,5,3,5,,3,5,,5
32,4,,3,,2,,,,,,,5,,3,,,,5,,,,,,,
33,5,,,5,4,4,,,5,,4,,,,4,4,,5,4,,,,,,4
34,4,,4,4,4,,,5,,,,,5,,,4,4,,5,,,,,5,4
35,,,,3,1,,,,,,,,,,,,,,,,,,,,1
36,,,4,3,3,,,,,,,,,,,,3,,,,,,,4,
37,,,4,,3,,,,,5,,5,3,,,,4,,3,4,5,4,5,,4
